year,month,day,week_day,requests
2015,11,4,2,1549450
2015,11,5,3,1520994
2015,11,6,4,1580203
2015,11,7,5,945785
2015,11,8,6,688173
2015,11,9,0,1767890
2015,11,10,1,1863797
2015,11,11,2,1992948
2015,11,12,3,2238976
2015,11,13,4,2308991
2015,11,14,5,1648636
2015,11,15,6,1258117
2015,11,16,0,2204717
2015,11,17,1,2175185
2015,11,18,2,2191773
2015,11,19,3,2202594
2015,11,20,4,2548387
2015,11,21,5,1970394
2015,11,22,6,1458485
2015,11,23,0,2612594
2015,11,24,1,2866034
2015,11,25,2,3469716
2015,11,26,3,3722380
2015,11,27,4,4342751
2015,11,28,5,3789030
2015,11,29,6,2918411
2015,11,30,0,4313653
2015,12,1,1,4556005
2015,12,2,2,4801947
2015,12,3,3,4848526
2015,12,4,4,5206985
2015,12,5,5,4527471
2015,12,6,6,3534979
2015,12,7,0,4913740
2015,12,8,1,4633913
2015,12,9,2,4907288
2015,12,10,3,4895173
2015,12,11,4,5118604
2015,12,12,5,4409309
2015,12,13,6,3450890
2015,12,14,0,4800417
2015,12,15,1,4787643
2015,12,16,2,5044855
2015,12,17,3,5054475
2015,12,18,4,5588284
2015,12,19,5,5198421
2015,12,20,6,3904399
2015,12,21,0,5278887
2015,12,22,1,5367075
2015,12,23,2,5778539
2015,12,24,3,5192294
2015,12,25,4,4027691
2015,12,26,5,4396306
2015,12,27,6,4328153
2015,12,28,0,5253462
2015,12,29,1,5102262
2015,12,30,2,5117102
2015,12,31,3,4757872
2016,1,1,4,4208847
2016,1,2,5,4448124
2016,1,3,6,3777988
2016,1,4,0,4783010
2016,1,5,1,4626268
2016,1,6,2,4431743
2016,1,7,3,4600994
2016,1,8,4,4710531
2016,1,9,5,4194955
2016,1,10,6,3323234
2016,1,11,0,4654166
2016,1,12,1,4543579
2016,1,13,2,4609309
2016,1,14,3,4473466
2016,1,15,4,4715837
2016,1,16,5,4071499
2016,1,17,6,3226477
2016,1,18,0,4491368
2016,1,19,1,4343697
2016,1,20,2,4498018
2016,1,21,3,4500941
2016,1,22,4,4865154
2016,1,23,5,4212142
2016,1,24,6,3417471
2016,1,25,0,4752963
2016,1,26,1,4608034
2016,1,27,2,4683987
2016,1,28,3,4640833
2016,1,29,4,5005014
2016,1,30,5,4470870
2016,1,31,6,3347757
2016,2,1,0,4849578
2016,2,2,1,4685719
2016,2,3,2,4666214
2016,2,4,3,4667785
2016,2,5,4,5068583
2016,2,6,5,4494889
2016,2,7,6,3391748
2016,2,8,0,4843830
2016,2,9,1,4808881
2016,2,10,2,4906387
2016,2,11,3,4973302
2016,2,12,4,5174811
2016,2,13,5,4475591
2016,2,14,6,3564785
2016,2,15,0,4923176
2016,2,16,1,4751041
2016,2,17,2,4829560
2016,2,18,3,4860142
2016,2,19,4,5028578
2016,2,20,5,4432298
2016,2,21,6,3866418
2016,2,22,0,4948188
2016,2,23,1,4721801
2016,2,24,2,4817596
2016,2,25,3,4880314
2016,2,26,4,5264995
2016,2,27,5,4678758
2016,2,28,6,3624992
2016,2,29,0,5040268
2016,3,1,1,4938744
2016,3,2,2,4930388
2016,3,3,3,5031380
2016,3,4,4,5216230
2016,3,5,5,4565803
2016,3,6,6,3678726
2016,3,7,0,4997634
2016,3,8,1,4910363
2016,3,9,2,4907455
2016,3,10,3,5049369
2016,3,11,4,5202077
2016,3,12,5,4593780
2016,3,13,6,3665937
2016,3,14,0,4946168
2016,3,15,1,4773818
2016,3,16,2,4824912
2016,3,17,3,4891137
2016,3,18,4,5216623
2016,3,19,5,4737486
2016,3,20,6,3666770
2016,3,21,0,4930015
2016,3,22,1,5058437
2016,3,23,2,5833576
2016,3,24,3,5698078
2016,3,25,4,5042818
2016,3,26,5,5388838
2016,3,27,6,4252237
2016,3,28,0,4448262
2016,3,29,1,5416450
2016,3,30,2,5237471
2016,3,31,3,5187766
2016,4,1,4,5418235
2016,4,2,5,4792564
2016,4,3,6,3889951
2016,4,4,0,5048345
2016,4,5,1,4888465
2016,4,6,2,5121285
2016,4,7,3,4946014
2016,4,8,4,5146053
2016,4,9,5,4695920
2016,4,10,6,3902675
2016,4,11,0,5052664
2016,4,12,1,4887383
2016,4,13,2,4898115
2016,4,14,3,4957842
2016,4,15,4,5277091
2016,4,16,5,4734410
2016,4,17,6,3727140
2016,4,18,0,5169832
2016,4,19,1,5007224
2016,4,20,2,5157395
2016,4,21,3,5084041
2016,4,22,4,5351592
2016,4,23,5,4731918
2016,4,24,6,3843138
2016,4,25,0,5104071
2016,4,26,1,4979090
2016,4,27,2,5099702
2016,4,28,3,5120314
2016,4,29,4,5483193
2016,4,30,5,4884980
2016,5,1,6,3895912
2016,5,2,0,5222992
2016,5,3,1,5192001
2016,5,4,2,5741567
2016,5,5,3,5069654
2016,5,6,4,5812494
2016,5,7,5,5296687
2016,5,8,6,4803268
2016,5,9,0,5281903
2016,5,10,1,5097369
2016,5,11,2,5134418
2016,5,12,3,5175792
2016,5,13,4,5706508
2016,5,14,5,5326558
2016,5,15,6,4463885
2016,5,16,0,4346039
2016,5,17,1,5305211
2016,5,18,2,5225921
2016,5,19,3,5082905
2016,5,20,4,5466956
2016,5,21,5,4911035
2016,5,22,6,3963564
2016,5,23,0,5101459
2016,5,24,1,5048246
2016,5,25,2,5317110
2016,5,26,3,5108969
2016,5,27,4,5696039
2016,5,28,5,5035734
2016,5,29,6,4000050
2016,5,30,0,5262713
2016,5,31,1,5105778
2016,6,1,2,5222660
2016,6,2,3,5170073
2016,6,3,4,5517412
2016,6,4,5,4852345
2016,6,5,6,3996432
2016,6,6,0,5226783
2016,6,7,1,5171463
2016,6,8,2,5142543
2016,6,9,3,5188634
2016,6,10,4,5508030
2016,6,11,5,4710742
2016,6,12,6,3825623
2016,6,13,0,5110624
2016,6,14,1,5018568
2016,6,15,2,5115986
2016,6,16,3,5036546
2016,6,17,4,5442964
2016,6,18,5,4818585
2016,6,19,6,3955713
2016,6,20,0,5211774
2016,6,21,1,5024092
2016,6,22,2,5269602
2016,6,23,3,5278223
2016,6,24,4,5696764
2016,6,25,5,5005409
2016,6,26,6,4144020
2016,6,27,0,5412389
2016,6,28,1,5294931
2016,6,29,2,5361362
2016,6,30,3,5453116
2016,7,1,4,5828787
2016,7,2,5,5202817
2016,7,3,6,4497561
2016,7,4,0,5447313
2016,7,5,1,5477340
2016,7,6,2,5554798
2016,7,7,3,5522312
2016,7,8,4,5940342
2016,7,9,5,5926911
2016,7,10,6,5029550
2016,7,11,0,5848021
2016,7,12,1,5489958
2016,7,13,2,5437516
2016,7,14,3,5495343
2016,7,15,4,6038740
2016,7,16,5,5969095
2016,7,17,6,4957079
2016,7,18,0,5671098
2016,7,19,1,5472434
2016,7,20,2,5670943
2016,7,21,3,5965949
2016,7,22,4,6175701
2016,7,23,5,6089294
2016,7,24,6,5020484
2016,7,25,0,5768390
2016,7,26,1,5688934
2016,7,27,2,5735892
2016,7,28,3,5823078
2016,7,29,4,6312062
2016,7,30,5,6117053
2016,7,31,6,5078271
2016,8,1,0,5374721
2016,8,2,1,5514260
2016,8,3,2,5383924
2016,8,4,3,5335652
2016,8,5,4,5648360
2016,8,6,5,5318109
2016,8,7,6,4687065
2016,8,8,0,5342289
2016,8,9,1,5067633
2016,8,10,2,5514693
2016,8,11,3,5494274
2016,8,12,4,5515084
2016,8,13,5,5313684
2016,8,14,6,4507855
2016,8,15,0,5057300
2016,8,16,1,5155077
2016,8,17,2,5087767
2016,8,18,3,4978650
2016,8,19,4,5127943
2016,8,20,5,4572040
2016,8,21,6,3911148
2016,8,22,0,4936917
2016,8,23,1,4788425
2016,8,24,2,4860577
2016,8,25,3,4958672
2016,8,26,4,5355239
2016,8,27,5,4862296
2016,8,28,6,4189991
2016,8,29,0,5021058
2016,8,30,1,4860550
2016,8,31,2,4934421
2016,9,1,3,4930402
2016,9,2,4,5255208
2016,9,3,5,4725775
2016,9,4,6,3842026
2016,9,5,0,4970823
2016,9,6,1,4873660
2016,9,7,2,5003766
2016,9,8,3,4897844
2016,9,9,4,5242211
2016,9,10,5,4725301
2016,9,11,6,3981961
