year,month,day,week_day,hour,requests
2015,4,3,4,21,11075
2015,4,3,4,22,7195
2015,4,3,4,23,4928
2015,4,4,5,0,4349
2015,4,4,5,1,3343
2015,4,4,5,2,3170
2015,4,4,5,3,2883
2015,4,4,5,4,2515
2015,4,4,5,5,2088
2015,4,4,5,6,2016
2015,4,4,5,7,5164
2015,4,4,5,8,15389
2015,4,4,5,9,29379
2015,4,4,5,10,36875
2015,4,4,5,11,35386
2015,4,4,5,12,26352
2015,4,4,5,13,28161
2015,4,4,5,14,26643
2015,4,4,5,15,27062
2015,4,4,5,16,28175
2015,4,4,5,17,29822
2015,4,4,5,18,26925
2015,4,4,5,19,23881
2015,4,4,5,20,19493
2015,4,4,5,21,24588
2015,4,4,5,22,25831
2015,4,4,5,23,4244
2015,4,5,6,0,3932
2015,4,5,6,1,3155
2015,4,5,6,2,3059
2015,4,5,6,3,2925
2015,4,5,6,4,2605
2015,4,5,6,5,1982
2015,4,5,6,6,1542
2015,4,5,6,7,3297
2015,4,5,6,8,11160
2015,4,5,6,9,24773
2015,4,5,6,10,30324
2015,4,5,6,11,27708
2015,4,5,6,12,18495
2015,4,5,6,13,20734
2015,4,5,6,14,24137
2015,4,5,6,15,17506
2015,4,5,6,16,18196
2015,4,5,6,17,20021
2015,4,5,6,18,21819
2015,4,5,6,19,23268
2015,4,5,6,20,21016
2015,4,5,6,21,12861
2015,4,5,6,22,7392
2015,4,5,6,23,4368
2015,4,6,0,0,3647
2015,4,6,0,1,2996
2015,4,6,0,2,3074
2015,4,6,0,3,2889
2015,4,6,0,4,2566
2015,4,6,0,5,1772
2015,4,6,0,6,1485
2015,4,6,0,7,3256
2015,4,6,0,8,10946
2015,4,6,0,9,21362
2015,4,6,0,10,28081
2015,4,6,0,11,25541
2015,4,6,0,12,17525
2015,4,6,0,13,18504
2015,4,6,0,14,16119
2015,4,6,0,15,17002
2015,4,6,0,16,19931
2015,4,6,0,17,22730
2015,4,6,0,18,23917
2015,4,6,0,19,24874
2015,4,6,0,20,22095
2015,4,6,0,21,12277
2015,4,6,0,22,6406
2015,4,6,0,23,4038
2015,4,7,1,0,3413
2015,4,7,1,1,2742
2015,4,7,1,2,2749
2015,4,7,1,3,2926
2015,4,7,1,4,3024
2015,4,7,1,5,2577
2015,4,7,1,6,3720
2015,4,7,1,7,19597
2015,4,7,1,8,67714
2015,4,7,1,9,90729
2015,4,7,1,10,95837
2015,4,7,1,11,86362
2015,4,7,1,12,40463
2015,4,7,1,13,64772
2015,4,7,1,14,75776
2015,4,7,1,15,72282
2015,4,7,1,16,71344
2015,4,7,1,17,56970
2015,4,7,1,18,42955
2015,4,7,1,19,35538
2015,4,7,1,20,28687
2015,4,7,1,21,14867
2015,4,7,1,22,7947
2015,4,7,1,23,4733
2015,4,8,2,0,3813
2015,4,8,2,1,2960
2015,4,8,2,2,2933
2015,4,8,2,3,2879
2015,4,8,2,4,2807
2015,4,8,2,5,2492
2015,4,8,2,6,3532
2015,4,8,2,7,17148
2015,4,8,2,8,58162
2015,4,8,2,9,81340
